"","Col_Shade_1_replicate1","Col_Shade_1_replicate2","Col_Sun_1_replicate1","Col_Sun_1_replicate2","Col_Shade_4_replicate1","Col_Shade_4_replicate2","Col_Sun_4_replicate1","Col_Sun_4_replicate2"
"AT5G44530",9.51732864713813,14.6573014405978,15.6902951940756,14.5133762159654,11.1324878793858,10.7536803700498,7.93902486766797,11.6337774474143
"AT5G44540",0,0,0.747156914003599,0,0,0,0,0
"AT5G44550",1.51412046659016,3.73617487701512,2.2414707420108,5.30296438660273,1.71269044298244,6.68472023003097,1.76422774837066,4.51105656124229
"AT5G44555",0,0,0.249052304667866,0,0,0,0,0
"AT5G44560",35.9062853505666,40.8105255797036,35.6144795675049,35.1670269848392,27.403047087719,31.6797610901468,32.4176848763109,34.901332342243
"AT5G44562",25.0911391606369,26.7280202740312,24.158073552783,24.0028914340966,13.7015235438595,18.0196806200835,18.5243913578919,21.3681626585161
"AT5G44565",0.865211695194376,0.287398067462701,1.24526152333933,0.279103388768565,1.71269044298244,2.32512008001077,2.20528468546333,2.37424029539068
"AT5G44568",2.16302923798594,1.43699033731351,1.74336613267506,3.90744744275991,2.56903566447365,2.03448007000942,6.61585405638998,1.66196820677348
"AT5G44569",1.29781754279156,3.44877680955242,1.24526152333933,1.11641355507426,4.28172610745609,3.7783201300175,3.74898396528765,1.89939223631254
"AT5G44570",0.216302923798594,0.574796134925403,0.249052304667866,0,0,0,0.661585405638998,0
"AT5G44572",1.94672631418735,1.72438840477621,5.23009839802519,2.51193049891708,4.28172610745609,1.74384006000808,1.98475621691699,3.56136044308602
"AT5G44574",0,0,0.747156914003599,0.55820677753713,0,0,0.220528468546333,0
"AT5G44575",0,0,0.747156914003599,0,0,0,0.441056937092665,0.237424029539068
"AT5G44578",1.08151461899297,0.862194202388104,1.24526152333933,0.837310166305695,0.856345221491218,1.74384006000808,0.661585405638998,1.42454417723441
"AT5G44580",9.73363157093673,15.2320975755232,11.207353710054,13.1178592721226,77.9274151557008,39.5270413601831,29.9918717223012,26.1166432492975
"AT5G44582",2.37933216178453,0.574796134925403,2.73957535134653,0.837310166305695,0.856345221491218,4.65024016002154,2.42581315400966,2.61166432492975
"AT5G44585",0,0,0.249052304667866,0.279103388768565,0,0,0,0.474848059078136
"AT5G44590",0,0,0.498104609335732,0.279103388768565,0,0,0,0.474848059078136
"AT5G44600",24.6585333130397,21.5548550597026,23.9090212481152,22.6073744902538,13.7015235438595,21.2167207300983,19.8475621691699,16.1448340086566
"AT5G44610",0.216302923798594,0,0,0,0.856345221491218,0.290640010001346,0.220528468546333,0
"AT5G44620",1.29781754279156,0,2.98862765601439,1.67462033261139,1.71269044298244,3.48768012001616,0.661585405638998,1.89939223631254
"AT5G44630",0,0,0,0,0,1.45320005000673,0,0.237424029539068
